"proteinSearched","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"lymphatic","FLT4","ENSG00000037280","This gene encodes a tyrosine kinase receptor for vascular endothelial growth factors C and D. The protein is thought to be involved in lymphangiogenesis and maintenance of the lymphatic endothelium. Mutations in this gene cause hereditary lymphedema type IA. [provided by RefSeq, Jul 2008]","                                            FLT4 (Fms Related Receptor Tyrosine Kinase 4) is a Protein Coding gene.                                            Diseases associated with FLT4 include Lymphatic Malformation 1 and Congenital Heart Defects, Multiple Types, 7.                                            Among its related pathways are Signaling by GPCR and NF-KappaB Family Pathway.                                            Gene Ontology (GO) annotations related to this gene include transferase activity, transferring phosphorus-containing groups and protein tyrosine kinase activity.                                            An important paralog of this gene is KDR.","Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFC and VEGFD, and plays an essential role in adult lymphangiogenesis and in the development of the vascular network and the cardiovascular system during embryonic development. Promotes proliferation, survival and migration of endothelial cells, and regulates angiogenic sprouting. Signaling by activated FLT4 leads to enhanced production of VEGFC, and to a lesser degree VEGFA, thereby creating a positive feedback loop that enhances FLT4 signaling. Modulates KDR signaling by forming heterodimers. The secreted isoform 3 may function as a decoy receptor for VEGFC and/or VEGFD and play an important role as a negative regulator of VEGFC-mediated lymphangiogenesis and angiogenesis. Binding of vascular growth factors to isoform 1 or isoform 2 leads to the activation of several signaling cascades; isoform 2 seems to be less efficient in signal transduction, because it has a truncated C-terminus and therefore lacks several phosphorylation sites. Mediates activation of the MAPK1/ERK2, MAPK3/ERK1 signaling pathway, of MAPK8 and the JUN signaling pathway, and of the AKT1 signaling pathway. Phosphorylates SHC1. Mediates phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase. Promotes phosphorylation of MAPK8 at 'Thr-183' and 'Tyr-185', and of AKT1 at 'Ser-473'.
                         VGFR3_HUMAN,P35916
                         ","Thu Sep 03 13:49:53 2020"
"lymphatic","VEGFC","ENSG00000150630","The protein encoded by this gene is a member of the platelet-derived growth factor/vascular endothelial growth factor (PDGF/VEGF) family. The encoded protein promotes angiogenesis and endothelial cell growth, and can also affect the permeability of blood vessels. The proprotein is further cleaved into a fully processed form that can bind and activate VEGFR-2 and VEGFR-3 receptors. [provided by RefSeq, Apr 2014]","                                            VEGFC (Vascular Endothelial Growth Factor C) is a Protein Coding gene.                                            Diseases associated with VEGFC include Lymphatic Malformation 4 and Hereditary Lymphedema Id.                                            Among its related pathways are HIF1Alpha Pathway and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include growth factor activity and vascular endothelial growth factor receptor 3 binding.                                            An important paralog of this gene is VEGFD.","Growth factor active in angiogenesis, and endothelial cell growth, stimulating their proliferation and migration and also has effects on the permeability of blood vessels. May function in angiogenesis of the venous and lymphatic vascular systems during embryogenesis, and also in the maintenance of differentiated lymphatic endothelium in adults. Binds and activates KDR/VEGFR2 and FLT4/VEGFR3 receptors.
                         VEGFC_HUMAN,P49767
                         ","Thu Sep 03 13:49:56 2020"
"lymphatic","LYVE1","ENSG00000133800","This gene encodes a type I integral membrane glycoprotein. The encoded protein acts as a receptor and binds to both soluble and immobilized hyaluronan. This protein may function in lymphatic hyaluronan transport and have a role in tumor metastasis. [provided by RefSeq, Jul 2008]","                                            LYVE1 (Lymphatic Vessel Endothelial Hyaluronan Receptor 1) is a Protein Coding gene.                                            Diseases associated with LYVE1 include Intramuscular Hemangioma and Middle Cerebral Artery Infarction.                                            Among its related pathways are Cell adhesion_Cell-matrix glycoconjugates and Glycosaminoglycan metabolism.                                            Gene Ontology (GO) annotations related to this gene include hyaluronic acid binding.                                            An important paralog of this gene is CD44.","Ligand-specific transporter trafficking between intracellular organelles (TGN) and the plasma membrane. Plays a role in autocrine regulation of cell growth mediated by growth regulators containing cell surface retention sequence binding (CRS). May act as a hyaluronan (HA) transporter, either mediating its uptake for catabolism within lymphatic endothelial cells themselves, or its transport into the lumen of afferent lymphatic vessels for subsequent re-uptake and degradation in lymph nodes.
                         LYVE1_HUMAN,Q9Y5Y7
                         ","Thu Sep 03 13:49:57 2020"
"integumentary","FLG","ENSG00000143631","The protein encoded by this gene is an intermediate filament-associated protein that aggregates keratin intermediate filaments in mammalian epidermis. It is initially synthesized as a polyprotein precursor, profilaggrin (consisting of multiple filaggrin units of 324 aa each), which is localized in keratohyalin granules, and is subsequently proteolytically processed into individual functional filaggrin molecules. Mutations in this gene are associated with ichthyosis vulgaris.[provided by RefSeq, Dec 2009]","                                            FLG (Filaggrin) is a Protein Coding gene.                                            Diseases associated with FLG include Dermatitis, Atopic, 2 and Ichthyosis Vulgaris.                                            Among its related pathways are Keratinization and Developmental Biology.                                            Gene Ontology (GO) annotations related to this gene include calcium ion binding and structural molecule activity.                                            An important paralog of this gene is HRNR.","Aggregates keratin intermediate filaments and promotes disulfide-bond formation among the intermediate filaments during terminal differentiation of mammalian epidermis.
                         FILA_HUMAN,P20930
                         ","Thu Sep 03 13:45:05 2020"
"integumentary","KIT","ENSG00000157404","This gene encodes a receptor tyrosine kinase. This gene was initially identified as a homolog of the feline sarcoma viral oncogene v-kit and is often referred to as proto-oncogene c-Kit. The canonical form of this glycosylated transmembrane protein has an N-terminal extracellular region with five immunoglobulin-like domains, a transmembrane region, and an intracellular tyrosine kinase domain at the C-terminus. Upon activation by its cytokine ligand, stem cell factor (SCF), this protein phosphorylates multiple intracellular proteins that play a role in in the proliferation, differentiation, migration and apoptosis of many cell types and thereby plays an important role in hematopoiesis, stem cell maintenance, gametogenesis, melanogenesis, and in mast cell development, migration and function. This protein can be a membrane-bound or soluble protein. Mutations in this gene are associated with gastrointestinal stromal tumors, mast cell disease, acute myelogenous leukemia, and piebaldism. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2020]","                                            KIT (KIT Proto-Oncogene, Receptor Tyrosine Kinase) is a Protein Coding gene.                                            Diseases associated with KIT include Gastrointestinal Stromal Tumor and Piebald Trait.                                            Among its related pathways are RET signaling and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and protein kinase activity.                                            An important paralog of this gene is CSF1R.","Tyrosine-protein kinase that acts as cell-surface receptor for the cytokine KITLG/SCF and plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. In response to KITLG/SCF binding, KIT can activate several signaling pathways. Phosphorylates PIK3R1, PLCG1, SH2B2/APS and CBL. Activates the AKT1 signaling pathway by phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase. Activated KIT also transmits signals via GRB2 and activation of RAS, RAF1 and the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1. Promotes activation of STAT family members STAT1, STAT3, STAT5A and STAT5B. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate. KIT signaling is modulated by protein phosphatases, and by rapid internalization and degradation of the receptor. Activated KIT promotes phosphorylation of the protein phosphatases PTPN6/SHP-1 and PTPRU, and of the transcription factors STAT1, STAT3, STAT5A and STAT5B. Promotes phosphorylation of PIK3R1, CBL, CRK (isoform Crk-II), LYN, MAPK1/ERK2 and/or MAPK3/ERK1, PLCG1, SRC and SHC1.
                         KIT_HUMAN,P10721
                         ","Thu Sep 03 13:45:06 2020"
"integumentary","COL7A1","ENSG00000114270","This gene encodes the alpha chain of type VII collagen. The type VII collagen fibril, composed of three identical alpha collagen chains, is restricted to the basement zone beneath stratified squamous epithelia. It functions as an anchoring fibril between the external epithelia and the underlying stroma. Mutations in this gene are associated with all forms of dystrophic epidermolysis bullosa. In the absence of mutations, however, an acquired form of this disease can result from an autoimmune response made to type VII collagen. [provided by RefSeq, Jul 2008]","                                            COL7A1 (Collagen Type VII Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL7A1 include Epidermolysis Bullosa Pruriginosa and Transient Bullous Dermolysis Of The Newborn.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and serine-type endopeptidase inhibitor activity.                                            An important paralog of this gene is COL2A1.","Stratified squamous epithelial basement membrane protein that forms anchoring fibrils which may contribute to epithelial basement membrane organization and adherence by interacting with extracellular matrix (ECM) proteins such as type IV collagen.
                         CO7A1_HUMAN,Q02388
                         ","Thu Sep 03 13:45:07 2020"
"nervous","GFAP","ENSG00000131095","This gene encodes one of the major intermediate filament proteins of mature astrocytes. It is used as a marker to distinguish astrocytes from other glial cells during development. Mutations in this gene cause Alexander disease, a rare disorder of astrocytes in the central nervous system. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Oct 2008]","                                            GFAP (Glial Fibrillary Acidic Protein) is a Protein Coding gene.                                            Diseases associated with GFAP include Alexander Disease and Central Neurocytoma.                                            Among its related pathways are Neuroscience and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include structural molecule activity and structural constituent of cytoskeleton.                                            An important paralog of this gene is VIM.","GFAP, a class-III intermediate filament, is a cell-specific marker that, during the development of the central nervous system, distinguishes astrocytes from other glial cells.
                         GFAP_HUMAN,P14136
                         ","Thu Sep 03 13:45:38 2020"
"nervous","MPZ","ENSG00000158887","This gene is specifically expressed in Schwann cells of the peripheral nervous system and encodes a type I transmembrane glycoprotein that is a major structural protein of the peripheral myelin sheath. The encoded protein contains a large hydrophobic extracellular domain and a smaller basic intracellular domain, which are essential for the formation and stabilization of the multilamellar structure of the compact myelin. Mutations in this gene are associated with autosomal dominant form of Charcot-Marie-Tooth disease type 1 (CMT1B) and other polyneuropathies, such as Dejerine-Sottas syndrome (DSS) and congenital hypomyelinating neuropathy (CHN). A recent study showed that two isoforms are produced from the same mRNA by use of alternative in-frame translation termination codons via a stop codon readthrough mechanism. [provided by RefSeq, Oct 2015]","                                            MPZ (Myelin Protein Zero) is a Protein Coding gene.                                            Diseases associated with MPZ include Charcot-Marie-Tooth Disease, Demyelinating, Type 1B and Hypertrophic Neuropathy Of Dejerine-Sottas.                                            Among its related pathways are Neural Crest Differentiation and Cell adhesion molecules (CAMs).                                            Gene Ontology (GO) annotations related to this gene include structural molecule activity.                                            An important paralog of this gene is MPZL1.","Is an adhesion molecule necessary for normal myelination in the peripheral nervous system. It mediates adhesion between adjacent myelin wraps and ultimately drives myelin compaction.
                         MYP0_HUMAN,P25189
                         ","Thu Sep 03 13:45:39 2020"
"nervous","ASPA","ENSG00000108381","This gene encodes an enzyme that catalyzes the conversion of N-acetyl_L-aspartic acid (NAA) to aspartate and acetate. NAA is abundant in the brain where hydrolysis by aspartoacylase is thought to help maintain white matter. This protein is an NAA scavenger in other tissues. Mutations in this gene cause Canavan disease. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2008]","                                            ASPA (Aspartoacylase) is a Protein Coding gene.                                            Diseases associated with ASPA include Canavan Disease and Leukodystrophy.                                            Among its related pathways are Histidine metabolism and Viral mRNA Translation.                                            Gene Ontology (GO) annotations related to this gene include hydrolase activity, acting on ester bonds and aminoacylase activity.                                            An important paralog of this gene is ACY3.","Catalyzes the deacetylation of N-acetylaspartic acid (NAA) to produce acetate and L-aspartate. NAA occurs in high concentration in brain and its hydrolysis NAA plays a significant part in the maintenance of intact white matter. In other tissues it act as a scavenger of NAA from body fluids.
                         ACY2_HUMAN,P45381
                         ","Thu Sep 03 13:45:40 2020"
"circulatory","MED13L","ENSG00000123066","The protein encoded by this gene is a subunit of the Mediator complex, a large complex of proteins that functions as a transcriptional coactivator for most RNA polymerase II-transcribed genes. The encoded protein is involved in early development of the heart and brain. Defects in this gene are a cause of transposition of the great arteries, dextro-looped (DTGA).[provided by RefSeq, Jul 2010]","                                            MED13L (Mediator Complex Subunit 13L) is a Protein Coding gene.                                            Diseases associated with MED13L include Mental Retardation And Distinctive Facial Features With Or Without Cardiac Defects and Transposition Of The Great Arteries, Dextro-Looped 1.                                            Among its related pathways are Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) and Thyroid hormone signaling pathway.                                                                                        An important paralog of this gene is MED13.","Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. This subunit may specifically regulate transcription of targets of the Wnt signaling pathway and SHH signaling pathway.
                         MD13L_HUMAN,Q71F56
                         ","Thu Sep 03 13:51:05 2020"
